1_Q3,1_Q4_1,3_Q3,3_Q4_1,5_Q3,5_Q4_1,7_Q3,7_Q4_1,9_Q3,9_Q4_1,11_Q3,11_Q4_1,13_Q3,13_Q4_1,15_Q3,15_Q4_1,17_Q3,17_Q4_1,19_Q3,19_Q4_1,21_Q3,21_Q4_1,23_Q3,23_Q4_1,25_Q3,25_Q4_1,27_Q3,27_Q4_1,29_Q3,29_Q4_1,31_Q3,31_Q4_1,33_Q3,33_Q4_1,35_Q3,35_Q4_1,37_Q3,37_Q4_1,39_Q3,39_Q4_1,Q6,Q6_4_TEXT,Q5,Q8,Q9,Q7,participantId
Lund University - Familiarity,"Lund University - Evaluation",Sorbonne University - Familiarity,Sorbonne University - Evaluation,Trinity College Dublin - Familiarity,Trinity College Dublin - Evaluation,The University of Western Australia - Familiarity,"The University of Western Australia - Evaluation",KTH Royal Institute of Technology - Familiarity,KTH Royal Institute of Technology - Evaluation,University of Glasgow - Familiarity,University of Glasgow - Evaluation,Heidelberg University - Familiarity,Heidelberg University - Evaluation,University of Adelaide - Familiarity,University of Adelaide - Evaluation,Universidad de Buenos Aires - Familiarity,Universidad de Buenos Aires - Evaluation,Tokyo Institute of Technology - Familiarity,Tokyo Institute of Technology - Evaluation,University of Leeds - Familiarity,University of Leeds - Evaluation,University of Southampton - Familiarity,University of Southampton - Evaluation,Osaka University - Familiarity,Osaka University - Evaluation,University of Sheffield - Familiarity,University of Sheffield - Evaluation,Uppsala University - Familiarity,Uppsala University - Evaluation,Durham University - Familiarity,Durham University - Evaluation,University of Alberta - Familiarity,University of Alberta - Evaluation,University of Nottingham - Familiarity,University of Nottingham - Evaluation,Karlsruhe Institute of Technology - Familiarity,Karlsruhe Institute of Technology - Evaluation,Politecnico di Milano - Familiarity,Politecnico di Milano - Evaluation,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,How old are you?,Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,What best describes your employment status over the last three months?,participantId
I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,"I have heard of it, but I am not familiar with it",78,I have never heard of this university,0,I have never heard of this university,1,I have never heard of this university,0,I have never heard of this university,0,I am somewhat familiar with it,27,"I have heard of it, but I am not familiar with it",100,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,I have never heard of this university,0,Male,,35-44 years old,Black or African American,Bachelor’s degree,Working full-time,BA46C89FF6D74BBD8CBE20E7D403DFC1
I have never heard of this university,66,I have never heard of this university,46,I have never heard of this university,44,I have never heard of this university,22,I have never heard of this university,73,I have never heard of this university,46,I have never heard of this university,61,I have never heard of this university,29,I have never heard of this university,15,I have never heard of this university,79,I have never heard of this university,68,I have never heard of this university,19,I have never heard of this university,32,I have never heard of this university,45,I have never heard of this university,29,I have never heard of this university,51,I have never heard of this university,53,I have never heard of this university,56,I have never heard of this university,25,I have never heard of this university,18,Male,,25-34 years old,Other,Associates or technical degree,Working full-time,DDF654B04475461CAA83D9BFD3636F52
I have never heard of this university,78,I have never heard of this university,70,I have never heard of this university,54,I have never heard of this university,72,I have never heard of this university,51,"I have heard of it, but I am not familiar with it",74,"I have heard of it, but I am not familiar with it",73,I am somewhat familiar with it,93,"I have heard of it, but I am not familiar with it",29,I am somewhat familiar with it,80,I am somewhat familiar with it,90,I am very familiar with it,80,I am very familiar with it,94,I am very familiar with it,83,I have never heard of this university,76,I have never heard of this university,74,I have never heard of this university,80,"I have heard of it, but I am not familiar with it",71,I have never heard of this university,51,I have never heard of this university,50,Male,,18-24 years old,White or Caucasian,"Some college, but no degree",Student,8C7EAE2BB6894644BB2220D74032427A
I have never heard of this university,70,I have never heard of this university,80,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,59,I have never heard of this university,70,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,50,I have never heard of this university,70,I have never heard of this university,70,I have never heard of this university,69,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,60,I have never heard of this university,70,I have never heard of this university,70,I have never heard of this university,70,"I have heard of it, but I am not familiar with it",70,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,70,I have never heard of this university,70,I have never heard of this university,60,Female,,45-54 years old,White or Caucasian,Associates or technical degree,Working full-time,0DD374C49EDD48B0A934A11EB3F114A0
I have never heard of this university,5,I have never heard of this university,12,I have never heard of this university,30,I have never heard of this university,15,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",79,I have never heard of this university,44,I have never heard of this university,36,I have never heard of this university,55,I have never heard of this university,48,I have never heard of this university,23,I have never heard of this university,35,"I have heard of it, but I am not familiar with it",64,I have never heard of this university,39,I have never heard of this university,22,I have never heard of this university,16,"I have heard of it, but I am not familiar with it",41,"I have heard of it, but I am not familiar with it",61,I have never heard of this university,23,I have never heard of this university,18,Prefer to self-describe,genderfluid,18-24 years old,"White or Caucasian,American Indian/Native American or Alaska Native",High school diploma or GED,Working part-time,A53D15311E1A4E7BB8D9FDD5135514FC
I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,51,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,Prefer not to say,,25-34 years old,"White or Caucasian,Black or African American,American Indian/Native American or Alaska Native,Asian","Some college, but no degree",Student,08FA9BA3F2E34DE29AD38FC493DDA89A
I have never heard of this university,49,I have never heard of this university,20,"I have heard of it, but I am not familiar with it",90,I have never heard of this university,60,I have never heard of this university,79,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,60,I have never heard of this university,40,I have never heard of this university,30,I have never heard of this university,90,I have never heard of this university,52,I have never heard of this university,9,I have never heard of this university,70,I have never heard of this university,41,I have never heard of this university,30,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,50,I have never heard of this university,59,I have never heard of this university,70,I have never heard of this university,30,Female,,35-44 years old,White or Caucasian,Bachelor’s degree,Working full-time,68DC5E6A091E45CD956DF8AB911197F6
I have never heard of this university,21,I have never heard of this university,11,"I have heard of it, but I am not familiar with it",22,I have never heard of this university,30,I have never heard of this university,8,I have never heard of this university,34,I have never heard of this university,20,I have never heard of this university,30,I have never heard of this university,12,I have never heard of this university,9,I have never heard of this university,30,I have never heard of this university,29,I have never heard of this university,9,I have never heard of this university,25,I have never heard of this university,14,I have never heard of this university,31,"I have heard of it, but I am not familiar with it",32,"I have heard of it, but I am not familiar with it",29,I have never heard of this university,19,I have never heard of this university,10,Male,,35-44 years old,White or Caucasian,Bachelor’s degree,Working full-time,06F824C0E70043649B07F6BAA528B658
I have never heard of this university,50,I have never heard of this university,49,I have never heard of this university,50,I have never heard of this university,76,I have never heard of this university,78,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,96,I have never heard of this university,50,I have never heard of this university,61,I have never heard of this university,60,I have never heard of this university,60,I have never heard of this university,50,I have never heard of this university,75,I have never heard of this university,79,I have never heard of this university,60,I have never heard of this university,50,I have never heard of this university,50,Female,,25-34 years old,White or Caucasian,Bachelor’s degree,Working full-time,44FFB8F0481344DBACD4C9619DEF7E26
I have never heard of this university,20,I have never heard of this university,25,I am very familiar with it,30,I have never heard of this university,60,I have never heard of this university,50,I am somewhat familiar with it,45,I have never heard of this university,20,I have never heard of this university,45,I have never heard of this university,75,I have never heard of this university,60,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,49,I have never heard of this university,30,I have never heard of this university,20,"I have heard of it, but I am not familiar with it",65,I have never heard of this university,60,I have never heard of this university,25,I have never heard of this university,51,I have never heard of this university,15,Female,,35-44 years old,White or Caucasian,Bachelor’s degree,Working part-time,32CF00ADB1FB42ABA6ECDFD8C63BF3F7
I have never heard of this university,86,I am somewhat familiar with it,100,I am somewhat familiar with it,100,I have never heard of this university,90,I have never heard of this university,94,"I have heard of it, but I am not familiar with it",90,I have never heard of this university,90,I have never heard of this university,85,I have never heard of this university,90,I have never heard of this university,92,I am somewhat familiar with it,100,I have never heard of this university,80,I have never heard of this university,100,I have never heard of this university,90,I have never heard of this university,85,I have never heard of this university,86,I have never heard of this university,91,I have never heard of this university,90,I have never heard of this university,91,I have never heard of this university,89,Female,,45-54 years old,"White or Caucasian,Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,BD4E57AB370D4528A3DF938AE8F27B01
I have never heard of this university,55,I have never heard of this university,31,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,81,I have never heard of this university,52,"I have heard of it, but I am not familiar with it",74,I have never heard of this university,78,I have never heard of this university,60,I have never heard of this university,31,I have never heard of this university,81,I have never heard of this university,70,I have never heard of this university,67,I have never heard of this university,63,I have never heard of this university,72,I have never heard of this university,36,I have never heard of this university,53,I have never heard of this university,66,I have never heard of this university,70,I have never heard of this university,55,I have never heard of this university,32,Female,,35-44 years old,White or Caucasian,"Some college, but no degree",Working full-time,6AC71943F1C544D1B30EB1036D21CA0D
I have never heard of this university,20,I have never heard of this university,40,I have never heard of this university,20,"I have heard of it, but I am not familiar with it",40,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",50,I have never heard of this university,45,I have never heard of this university,51,I have never heard of this university,40,"I have heard of it, but I am not familiar with it",50,I have never heard of this university,10,"I have heard of it, but I am not familiar with it",50,"I have heard of it, but I am not familiar with it",60,"I have heard of it, but I am not familiar with it",50,I have never heard of this university,30,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",70,"I have heard of it, but I am not familiar with it",31,I have never heard of this university,30,I am somewhat familiar with it,70,Male,,18-24 years old,White or Caucasian,"Some college, but no degree",Student,8E6F027C1F914BEEB26C9D5E528BE427
I have never heard of this university,62,I have never heard of this university,37,I have never heard of this university,19,I have never heard of this university,68,I have never heard of this university,72,I have never heard of this university,20,I have never heard of this university,22,I have never heard of this university,22,I have never heard of this university,66,I have never heard of this university,75,I have never heard of this university,42,I have never heard of this university,26,I have never heard of this university,94,I have never heard of this university,10,I have never heard of this university,21,I have never heard of this university,51,I have never heard of this university,0,I have never heard of this university,11,I have never heard of this university,77,I have never heard of this university,65,Male,,25-34 years old,Black or African American,High school diploma or GED,Working full-time,012B4E05E38645C787ADD8FC4C076D2F
I have never heard of this university,27,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",49,"I have heard of it, but I am not familiar with it",32,I have never heard of this university,19,"I have heard of it, but I am not familiar with it",34,"I have heard of it, but I am not familiar with it",31,"I have heard of it, but I am not familiar with it",25,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",32,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",29,I have never heard of this university,13,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",22,"I have heard of it, but I am not familiar with it",30,I have never heard of this university,23,I have never heard of this university,19,Female,,25-34 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Unemployed and looking for work,F861EB444C1E4E5E8DFBDC8BE8DA8220
I have never heard of this university,55,I have never heard of this university,48,I have never heard of this university,56,I have never heard of this university,52,I have never heard of this university,52,"I have heard of it, but I am not familiar with it",62,I have never heard of this university,43,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,58,"I have heard of it, but I am not familiar with it",79,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,47,"I have heard of it, but I am not familiar with it",84,I have never heard of this university,53,I have never heard of this university,53,"I have heard of it, but I am not familiar with it",65,I have never heard of this university,44,"I have heard of it, but I am not familiar with it",81,I have never heard of this university,58,I have never heard of this university,50,Male,,45-54 years old,Asian,Bachelor’s degree,Unemployed and looking for work,8E3466454A314C85BB25FB2C97A4B0D7
"I have heard of it, but I am not familiar with it",61,I am somewhat familiar with it,89,I am very familiar with it,82,"I have heard of it, but I am not familiar with it",68,I have never heard of this university,56,I am somewhat familiar with it,64,"I have heard of it, but I am not familiar with it",60,"I have heard of it, but I am not familiar with it",65,I have never heard of this university,46,I have never heard of this university,67,"I have heard of it, but I am not familiar with it",61,I have never heard of this university,63,"I have heard of it, but I am not familiar with it",62,"I have heard of it, but I am not familiar with it",63,I have never heard of this university,57,I am somewhat familiar with it,76,"I have heard of it, but I am not familiar with it",63,"I have heard of it, but I am not familiar with it",63,"I have heard of it, but I am not familiar with it",73,I have never heard of this university,62,Male,,25-34 years old,Prefer not to say,Bachelor’s degree,Working full-time,3D7D72CEA1F6413D961CE185176CE502
I have never heard of this university,69,I have never heard of this university,67,I have never heard of this university,78,"I have heard of it, but I am not familiar with it",88,I have never heard of this university,76,"I have heard of it, but I am not familiar with it",90,I have never heard of this university,77,I have never heard of this university,72,I have never heard of this university,74,"I have heard of it, but I am not familiar with it",88,I have never heard of this university,76,I have never heard of this university,76,"I have heard of it, but I am not familiar with it",82,"I have heard of it, but I am not familiar with it",87,I have never heard of this university,70,"I have heard of it, but I am not familiar with it",88,"I have heard of it, but I am not familiar with it",90,I have never heard of this university,87,I have never heard of this university,76,I have never heard of this university,69,Female,,35-44 years old,White or Caucasian,Bachelor’s degree,Other,ED3568FECEB9427CAEEF86F3460C6B8A
I have never heard of this university,70,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,75,I have never heard of this university,85,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,70,I have never heard of this university,90,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,80,I have never heard of this university,75,I have never heard of this university,80,I have never heard of this university,70,I have never heard of this university,80,I have never heard of this university,85,I have never heard of this university,80,I have never heard of this university,90,I have never heard of this university,70,Male,,35-44 years old,White or Caucasian,Bachelor’s degree,Working full-time,0A79EE9ED56E4610A3DDC4838DD31548
I have never heard of this university,55,I have never heard of this university,66,"I have heard of it, but I am not familiar with it",82,I have never heard of this university,70,I have never heard of this university,85,"I have heard of it, but I am not familiar with it",69,I am somewhat familiar with it,100,I have never heard of this university,35,"I have heard of it, but I am not familiar with it",85,"I have heard of it, but I am not familiar with it",93,I am somewhat familiar with it,76,"I have heard of it, but I am not familiar with it",48,I have never heard of this university,76,"I have heard of it, but I am not familiar with it",72,I have never heard of this university,35,I have never heard of this university,67,"I have heard of it, but I am not familiar with it",54,I have never heard of this university,40,I have never heard of this university,22,I have never heard of this university,38,Male,,45-54 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,2649AA17B0054500A9C624077A71F95E
I have never heard of this university,10,I have never heard of this university,30,I have never heard of this university,10,I have never heard of this university,90,I have never heard of this university,60,I have never heard of this university,60,I have never heard of this university,20,I have never heard of this university,30,I have never heard of this university,5,I have never heard of this university,90,I have never heard of this university,90,I have never heard of this university,80,I have never heard of this university,10,I have never heard of this university,40,I have never heard of this university,10,I have never heard of this university,70,I have never heard of this university,90,I have never heard of this university,90,I have never heard of this university,5,I have never heard of this university,1,Male,,25-34 years old,Black or African American,High school diploma or GED,Working full-time,086CA0EE50924484BA40BE283B35A167
I have never heard of this university,3,"I have heard of it, but I am not familiar with it",22,I am somewhat familiar with it,33,I have never heard of this university,1,I have never heard of this university,4,I have never heard of this university,12,I have never heard of this university,6,I have never heard of this university,13,I have never heard of this university,37,I have never heard of this university,3,I am very familiar with it,15,I have never heard of this university,8,I have never heard of this university,4,I have never heard of this university,7,I have never heard of this university,12,I have never heard of this university,15,I have never heard of this university,66,I have never heard of this university,13,I have never heard of this university,31,I have never heard of this university,4,Male,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,09A54B497E63405482AE17D913E2D5C2
I have never heard of this university,50,I am somewhat familiar with it,52,I have never heard of this university,52,I have never heard of this university,51,I have never heard of this university,51,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",51,I have never heard of this university,49,I have never heard of this university,7,I have never heard of this university,15,I have never heard of this university,49,I have never heard of this university,51,I have never heard of this university,51,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,53,"I have heard of it, but I am not familiar with it",55,I have never heard of this university,51,I have never heard of this university,51,I have never heard of this university,11,Female,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,4068D798CA4F443EBDA0836A346C7FAA
I have never heard of this university,10,I have never heard of this university,11,I am somewhat familiar with it,29,I have never heard of this university,10,I have never heard of this university,10,I am somewhat familiar with it,10,I am somewhat familiar with it,10,I have never heard of this university,10,I am somewhat familiar with it,20,I have never heard of this university,10,I am somewhat familiar with it,10,I have never heard of this university,10,I am somewhat familiar with it,10,I have never heard of this university,11,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",10,I am somewhat familiar with it,30,I have never heard of this university,10,I have never heard of this university,10,I have never heard of this university,10,Female,,25-34 years old,White or Caucasian,Bachelor’s degree,Working part-time,EE5F963F39674CACA41B0DDC1595BFC0
