1_Q3,1_Q4_1,3_Q3,3_Q4_1,5_Q3,5_Q4_1,7_Q3,7_Q4_1,9_Q3,9_Q4_1,11_Q3,11_Q4_1,13_Q3,13_Q4_1,15_Q3,15_Q4_1,17_Q3,17_Q4_1,19_Q3,19_Q4_1,21_Q3,21_Q4_1,23_Q3,23_Q4_1,25_Q3,25_Q4_1,27_Q3,27_Q4_1,29_Q3,29_Q4_1,31_Q3,31_Q4_1,33_Q3,33_Q4_1,35_Q3,35_Q4_1,37_Q3,37_Q4_1,39_Q3,39_Q4_1,Q6,Q6_4_TEXT,Q5,Q8,Q9,Q7,participantId
"I have heard of it, but I am not familiar with it",14,"I have heard of it, but I am not familiar with it",31,"I have heard of it, but I am not familiar with it",22,I have never heard of this university,11,I have never heard of this university,36,"I have heard of it, but I am not familiar with it",24,"I have heard of it, but I am not familiar with it",11,I have never heard of this university,11,I have never heard of this university,11,I have never heard of this university,34,"I have heard of it, but I am not familiar with it",31,I have never heard of this university,12,I have never heard of this university,31,I have never heard of this university,11,I have never heard of this university,12,I have never heard of this university,12,"I have heard of it, but I am not familiar with it",34,I have never heard of this university,12,I have never heard of this university,12,I have never heard of this university,13,Female,,25-34 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working part-time,9C9BF153F23143F28476E316F8F2010D
I am somewhat familiar with it,63,I am very familiar with it,81,I am very familiar with it,78,I am somewhat familiar with it,66,I am somewhat familiar with it,69,I am somewhat familiar with it,72,"I have heard of it, but I am not familiar with it",38,I am somewhat familiar with it,67,I am very familiar with it,73,I am somewhat familiar with it,73,"I have heard of it, but I am not familiar with it",71,I am somewhat familiar with it,59,I am somewhat familiar with it,82,I am somewhat familiar with it,80,I am somewhat familiar with it,68,I am somewhat familiar with it,72,I am very familiar with it,65,I am somewhat familiar with it,70,I am very familiar with it,74,I am somewhat familiar with it,81,Male,,35-44 years old,White or Caucasian,Bachelor’s degree,Working full-time,8BCB509032C148C7B1809382C5D2D30B
I have never heard of this university,75,I am somewhat familiar with it,87,"I have heard of it, but I am not familiar with it",81,I have never heard of this university,79,I have never heard of this university,90,I have never heard of this university,81,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,93,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,91,I have never heard of this university,88,Female,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,C9A88F513C0D43FEAAB91ABE7D2A2DFB
"I have heard of it, but I am not familiar with it",77,I have never heard of this university,60,I have never heard of this university,63,I have never heard of this university,40,I have never heard of this university,90,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,83,I have never heard of this university,69,I have never heard of this university,51,"I have heard of it, but I am not familiar with it",99,I have never heard of this university,54,"I have heard of it, but I am not familiar with it",72,"I have heard of it, but I am not familiar with it",95,"I have heard of it, but I am not familiar with it",88,I have never heard of this university,54,"I have heard of it, but I am not familiar with it",95,"I have heard of it, but I am not familiar with it",80,"I have heard of it, but I am not familiar with it",69,I have never heard of this university,28,I have never heard of this university,46,Female,,65+ years old,White or Caucasian,Associates or technical degree,Retired,43B38C5A971146D5A03772B7DE77B79F
I have never heard of this university,0,"I have heard of it, but I am not familiar with it",59,I have never heard of this university,0,I have never heard of this university,18,I have never heard of this university,20,I have never heard of this university,38,I have never heard of this university,0,I have never heard of this university,20,I have never heard of this university,0,I have never heard of this university,40,I have never heard of this university,30,I have never heard of this university,33,I have never heard of this university,44,I have never heard of this university,29,I have never heard of this university,0,I have never heard of this university,38,I have never heard of this university,50,I have never heard of this university,11,I have never heard of this university,0,I have never heard of this university,36,Male,,35-44 years old,White or Caucasian,"Some college, but no degree",Working full-time,BE40A747DDDC4C159920E7D896B0C43B
I have never heard of this university,20,I have never heard of this university,19,I have never heard of this university,13,I have never heard of this university,17,I have never heard of this university,15,I have never heard of this university,16,I have never heard of this university,17,I have never heard of this university,19,I have never heard of this university,12,I have never heard of this university,17,I have never heard of this university,15,I have never heard of this university,16,I have never heard of this university,20,I have never heard of this university,15,I have never heard of this university,18,I have never heard of this university,17,I have never heard of this university,26,I have never heard of this university,14,I have never heard of this university,14,I have never heard of this university,20,Male,,35-44 years old,White or Caucasian,Associates or technical degree,Unemployed and looking for work,E64CD767B60A44B3AD2ADED7AE7B102E
I have never heard of this university,40,I have never heard of this university,31,I have never heard of this university,29,I have never heard of this university,50,I have never heard of this university,69,"I have heard of it, but I am not familiar with it",50,I have never heard of this university,41,"I have heard of it, but I am not familiar with it",61,I have never heard of this university,31,I am somewhat familiar with it,72,I have never heard of this university,50,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",69,I have never heard of this university,40,I have never heard of this university,30,I have never heard of this university,49,"I have heard of it, but I am not familiar with it",70,"I have heard of it, but I am not familiar with it",61,I have never heard of this university,71,I have never heard of this university,30,Male,,35-44 years old,White or Caucasian,Associates or technical degree,Working part-time,CA5C57C8B03848C0932DBDEA6A6098F9
I have never heard of this university,55,I have never heard of this university,50,I have never heard of this university,55,I have never heard of this university,65,I have never heard of this university,75,I have never heard of this university,55,I have never heard of this university,55,I have never heard of this university,55,I have never heard of this university,50,I have never heard of this university,90,I have never heard of this university,55,"I have heard of it, but I am not familiar with it",55,I have never heard of this university,85,I have never heard of this university,55,I have never heard of this university,60,I am somewhat familiar with it,60,"I have heard of it, but I am not familiar with it",60,I have never heard of this university,55,I have never heard of this university,70,I have never heard of this university,65,Non-binary / third gender,,25-34 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",A homemaker or stay-at-home parent,D8F75C14EAF24D879F6D31BBCCB9D69B
I have never heard of this university,69,"I have heard of it, but I am not familiar with it",74,"I have heard of it, but I am not familiar with it",74,I have never heard of this university,60,I have never heard of this university,70,"I have heard of it, but I am not familiar with it",71,I have never heard of this university,70,I have never heard of this university,69,I have never heard of this university,68,I have never heard of this university,69,"I have heard of it, but I am not familiar with it",71,I have never heard of this university,69,I have never heard of this university,70,I have never heard of this university,68,I have never heard of this university,64,I have never heard of this university,69,I have never heard of this university,69,I have never heard of this university,70,I have never heard of this university,69,I have never heard of this university,69,Female,,35-44 years old,White or Caucasian,Bachelor’s degree,Working full-time,C5F739838F84491FBB3DF6EB57A21B8C
I have never heard of this university,75,I have never heard of this university,51,I have never heard of this university,74,I have never heard of this university,70,I have never heard of this university,82,I have never heard of this university,53,I have never heard of this university,79,I have never heard of this university,72,"I have heard of it, but I am not familiar with it",64,"I have heard of it, but I am not familiar with it",73,I am somewhat familiar with it,80,"I have heard of it, but I am not familiar with it",79,I have never heard of this university,81,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,51,"I have heard of it, but I am not familiar with it",77,"I have heard of it, but I am not familiar with it",72,"I have heard of it, but I am not familiar with it",72,I have never heard of this university,76,I have never heard of this university,60,Male,,45-54 years old,White or Caucasian,"Some college, but no degree",Working full-time,752C3F34BECF4DD5B82BF6A06BDC15A6
I have never heard of this university,50,I have never heard of this university,32,I have never heard of this university,32,I have never heard of this university,39,I have never heard of this university,51,I have never heard of this university,33,I have never heard of this university,30,I have never heard of this university,37,"I have heard of it, but I am not familiar with it",40,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",36,I have never heard of this university,51,I have never heard of this university,32,"I have heard of it, but I am not familiar with it",69,I have never heard of this university,49,"I have heard of it, but I am not familiar with it",71,I have never heard of this university,31,I have never heard of this university,59,I have never heard of this university,30,Male,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,DA69570119B24065909EFD08179AB45A
I have never heard of this university,70,I have never heard of this university,70,I have never heard of this university,70,I have never heard of this university,75,I have never heard of this university,70,I have never heard of this university,75,I have never heard of this university,70,I have never heard of this university,75,I have never heard of this university,70,I have never heard of this university,75,"I have heard of it, but I am not familiar with it",75,I have never heard of this university,75,I have never heard of this university,70,I have never heard of this university,75,I have never heard of this university,70,"I have heard of it, but I am not familiar with it",77,"I have heard of it, but I am not familiar with it",77,I have never heard of this university,75,I have never heard of this university,70,I have never heard of this university,70,Female,,35-44 years old,White or Caucasian,"Some college, but no degree",A homemaker or stay-at-home parent,66D0B254AB944CC38DD3DC8F212C6D66
I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,49,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",50,"I have heard of it, but I am not familiar with it",50,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,Female,,35-44 years old,White or Caucasian,Bachelor’s degree,Working full-time,38C7B4CC15C54D5F98F166C1BD1995F2
I have never heard of this university,65,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,75,I have never heard of this university,60,I have never heard of this university,80,"I have heard of it, but I am not familiar with it",75,"I have heard of it, but I am not familiar with it",85,I have never heard of this university,65,I have never heard of this university,45,I have never heard of this university,80,"I have heard of it, but I am not familiar with it",75,I have never heard of this university,70,I have never heard of this university,80,I have never heard of this university,70,I have never heard of this university,45,I have never heard of this university,65,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,65,I have never heard of this university,80,I have never heard of this university,60,Female,,55-64 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,3BB9F558B79A4B22A71CF00356573354
I have never heard of this university,43,I have never heard of this university,15,I have never heard of this university,52,I have never heard of this university,14,I have never heard of this university,27,"I have heard of it, but I am not familiar with it",39,I have never heard of this university,16,I have never heard of this university,18,I have never heard of this university,35,I have never heard of this university,23,"I have heard of it, but I am not familiar with it",43,I have never heard of this university,32,I have never heard of this university,34,I have never heard of this university,39,I have never heard of this university,80,"I have heard of it, but I am not familiar with it",81,"I have heard of it, but I am not familiar with it",65,I have never heard of this university,37,I have never heard of this university,13,I have never heard of this university,86,Female,,45-54 years old,White or Caucasian,Associates or technical degree,Working full-time,A564C1C5538C48D0874D3CC48612419D
I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,65,"I have heard of it, but I am not familiar with it",75,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,55,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,65,"I have heard of it, but I am not familiar with it",75,"I have heard of it, but I am not familiar with it",75,I have never heard of this university,65,I have never heard of this university,65,I have never heard of this university,55,Male,,55-64 years old,White or Caucasian,Associates or technical degree,Working part-time,BE48927354EC40329D644A03693519C9
I have never heard of this university,54,I have never heard of this university,33,I am somewhat familiar with it,37,I have never heard of this university,44,I have never heard of this university,44,"I have heard of it, but I am not familiar with it",51,I have never heard of this university,57,I have never heard of this university,52,I have never heard of this university,60,I have never heard of this university,68,I have never heard of this university,40,I have never heard of this university,55,I have never heard of this university,58,I have never heard of this university,41,I have never heard of this university,38,I have never heard of this university,58,I have never heard of this university,57,I have never heard of this university,46,I have never heard of this university,39,I have never heard of this university,50,Male,,45-54 years old,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Working full-time,23B7335472A1407BA6C9CDF60958C918
I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",69,I have never heard of this university,50,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",59,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",69,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,50,I have never heard of this university,50,Female,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,0C2FBF0AC86342FE9EC2B6FBA2407A60
I have never heard of this university,51,I have never heard of this university,59,I have never heard of this university,61,I have never heard of this university,71,I have never heard of this university,73,"I have heard of it, but I am not familiar with it",55,I have never heard of this university,50,I have never heard of this university,59,I have never heard of this university,51,I have never heard of this university,62,"I have heard of it, but I am not familiar with it",82,I have never heard of this university,60,I have never heard of this university,65,I have never heard of this university,71,I have never heard of this university,52,"I have heard of it, but I am not familiar with it",79,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,59,I have never heard of this university,69,I have never heard of this university,50,Female,,25-34 years old,White or Caucasian,Associates or technical degree,Working full-time,3DD4464BB2A5434DA776B499B7D4BEE8
I have never heard of this university,75,"I have heard of it, but I am not familiar with it",70,I have never heard of this university,90,I have never heard of this university,85,I have never heard of this university,98,I have never heard of this university,90,"I have heard of it, but I am not familiar with it",85,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,85,I have never heard of this university,98,"I have heard of it, but I am not familiar with it",90,I have never heard of this university,90,I have never heard of this university,95,I have never heard of this university,90,I have never heard of this university,75,I am very familiar with it,95,"I have heard of it, but I am not familiar with it",95,I have never heard of this university,90,I have never heard of this university,95,I have never heard of this university,80,Male,,35-44 years old,White or Caucasian,High school diploma or GED,Working full-time,CA98B80CF2DD496FA96DF87A76EE59D0
"I have heard of it, but I am not familiar with it",79,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",79,"I have heard of it, but I am not familiar with it",79,"I have heard of it, but I am not familiar with it",78,"I have heard of it, but I am not familiar with it",81,"I have heard of it, but I am not familiar with it",81,"I have heard of it, but I am not familiar with it",79,"I have heard of it, but I am not familiar with it",80,I am somewhat familiar with it,78,"I have heard of it, but I am not familiar with it",80,"I have heard of it, but I am not familiar with it",79,"I have heard of it, but I am not familiar with it",80,"I have heard of it, but I am not familiar with it",86,"I have heard of it, but I am not familiar with it",80,"I have heard of it, but I am not familiar with it",80,"I have heard of it, but I am not familiar with it",80,"I have heard of it, but I am not familiar with it",88,"I have heard of it, but I am not familiar with it",84,Male,,25-34 years old,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,4F9F4E86E246433F89623B433B1AB8B8
I have never heard of this university,50,I have never heard of this university,51,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,61,I am somewhat familiar with it,55,I have never heard of this university,49,I have never heard of this university,49,I have never heard of this university,51,I have never heard of this university,60,I have never heard of this university,48,"I have heard of it, but I am not familiar with it",55,I am somewhat familiar with it,58,I have never heard of this university,50,I have never heard of this university,50,"I have heard of it, but I am not familiar with it",56,I have never heard of this university,46,"I have heard of it, but I am not familiar with it",50,I have never heard of this university,50,I have never heard of this university,45,Male,,18-24 years old,White or Caucasian,Bachelor’s degree,Working part-time,204B41ECB5F84D2C8812CCA7C0ABD0ED
I have never heard of this university,9,I have never heard of this university,4,"I have heard of it, but I am not familiar with it",20,I have never heard of this university,12,I have never heard of this university,6,I have never heard of this university,10,I have never heard of this university,4,I have never heard of this university,11,I have never heard of this university,4,I have never heard of this university,3,I have never heard of this university,6,I have never heard of this university,10,I have never heard of this university,3,I have never heard of this university,10,I have never heard of this university,19,I have never heard of this university,5,I have never heard of this university,21,I have never heard of this university,8,I have never heard of this university,50,I have never heard of this university,9,Male,,45-54 years old,White or Caucasian,Associates or technical degree,Other,1B7CB68BEA6643B4B5C93CAAC59B1B85
"I have heard of it, but I am not familiar with it",28,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",28,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",27,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",28,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",26,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",41,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,"I have heard of it, but I am not familiar with it",29,Male,,35-44 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,DD2206E20B5F43EBB14E45E033A403E9
I have never heard of this university,30,I have never heard of this university,16,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,51,I have never heard of this university,48,I have never heard of this university,31,I have never heard of this university,34,I have never heard of this university,52,I have never heard of this university,39,"I have heard of it, but I am not familiar with it",60,I have never heard of this university,42,"I have heard of it, but I am not familiar with it",48,"I have heard of it, but I am not familiar with it",50,I have never heard of this university,21,I am somewhat familiar with it,67,"I have heard of it, but I am not familiar with it",51,"I have heard of it, but I am not familiar with it",60,I have never heard of this university,29,I have never heard of this university,22,Female,,25-34 years old,White or Caucasian,"Some college, but no degree",Working full-time,4262AFB86C594D08B28F0F91D674E4EB
I have never heard of this university,59,I have never heard of this university,69,"I have heard of it, but I am not familiar with it",79,I have never heard of this university,60,I have never heard of this university,74,I have never heard of this university,65,I am somewhat familiar with it,80,I have never heard of this university,53,I have never heard of this university,41,I have never heard of this university,76,"I have heard of it, but I am not familiar with it",57,I have never heard of this university,67,I have never heard of this university,45,I have never heard of this university,52,I have never heard of this university,43,I have never heard of this university,56,I have never heard of this university,56,I have never heard of this university,65,I have never heard of this university,63,I have never heard of this university,38,Female,,35-44 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,A55A273E95E740CF987A0746A8D05865