roundID,01KCN4JT7JV9834K2EFGWDC56Q,01KCN4GRHWYRKP6558VW4GSXGB,01KCN4HE2ANKWMREVC4WX9RFZE,01KCN4HWS1J577PATHMA1BCEND,01KCN4HSEQ1MP50XZYEJHKAWFK,01KCN4FWJ9YH6T0DSBYDZQ8RR3,01KCN4PZKT6MANX7J1NWVNWH6R,01KCN4PXCMJ14H8J91JM5Q1D64,01KCN4K206D9A6GVSR40776MS7,01KCN4PVS45PVVAGY4HD0MG12E
01KCN4Q41Y2RBFPRG0DZ7SRMSV,,,,,,,,,,
01KCN4Q42E902HW96VQXS6PBJN,University of Leeds,The University of Western Australia,University of Glasgow,University of Adelaide,Heidelberg University,,Karlsruhe Institute of Technology,University of Nottingham,University of Southampton,University of Sheffield
01KCN4Q42E902HW96VRRBK56Z7,Karlsruhe Institute of Technology,The University of Western Australia,University of Glasgow,Trinity College Dublin,University of Southampton,University of Glasgow,Trinity College Dublin,Karlsruhe Institute of Technology,Trinity College Dublin,University of Nottingham
01KCN4Q42H6FCNX2VESTDR726E,University of Glasgow,The University of Western Australia,University of Glasgow,University of Glasgow,University of Glasgow,University of Leeds,The University of Western Australia,Trinity College Dublin,Trinity College Dublin,Karlsruhe Institute of Technology
01KCN4Q42SDXWR5FBPHWH6XP79,University of Glasgow,The University of Western Australia,Heidelberg University,University of Glasgow,University of Glasgow,Karlsruhe Institute of Technology,University of Glasgow,The University of Western Australia,Trinity College Dublin,Trinity College Dublin
01KCN4Q42SDXWR5FBPJHAK9CSV,University of Southampton,University of Adelaide,University of Glasgow,Trinity College Dublin,University of Glasgow,University of Southampton,Heidelberg University,University of Glasgow,Trinity College Dublin,The University of Western Australia
01KCN4Q42T4GGM6CGG1F1ZK4J1,University of Sheffield,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,Karlsruhe Institute of Technology,University of Adelaide,Heidelberg University,Trinity College Dublin,University of Glasgow
01KCN4Q42T4GGM6CGG0XDJHHZJ,The University of Western Australia,University of Leeds,University of Adelaide,University of Leeds,University of Leeds,University of Sheffield,University of Leeds,University of Adelaide,Trinity College Dublin,Heidelberg University
01KCN4Q42T4GGM6CGG265ZZJEF,Trinity College Dublin,Trinity College Dublin,University of Adelaide,University of Southampton,University of Leeds,University of Glasgow,University of Southampton,University of Leeds,Trinity College Dublin,University of Adelaide
01KCN4Q42VEQ3KVR2Y5V7DQ7C6,Heidelberg University,Karlsruhe Institute of Technology,University of Adelaide,University of Sheffield,University of Leeds,University of Adelaide,University of Sheffield,University of Southampton,Trinity College Dublin,University of Leeds
01KCN4Q42VEQ3KVR2Y6936K2ZG,Trinity College Dublin,University of Nottingham,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Sheffield,Trinity College Dublin,University of Southampton
01KCN4Q42VEQ3KVR2Y7044A4VF,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Adelaide,University of Leeds,University of Southampton,University of Adelaide,The University of Western Australia,Trinity College Dublin,Trinity College Dublin
01KCN4Q42Y57KP36ZCVXKKQVCD,University of Leeds,Trinity College Dublin,University of Leeds,Karlsruhe Institute of Technology,University of Leeds,University of Nottingham,University of Nottingham,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCN4Q430SHD6NWTMQBN1A80C,Trinity College Dublin,Trinity College Dublin,University of Leeds,Heidelberg University,University of Leeds,University of Southampton,University of Nottingham,Trinity College Dublin,Trinity College Dublin,Heidelberg University
01KCN4Q431JTZ20QTK700CTZW8,Trinity College Dublin,Trinity College Dublin,University of Leeds,The University of Western Australia,University of Leeds,University of Southampton,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Glasgow
01KCN4Q433SG5R4YQSGEW5BRRD,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Glasgow
01KCN4Q431JTZ20QTK7PXEWFNQ,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Adelaide,University of Leeds,University of Southampton,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q432MRA2MMZQ1X310TXA,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q435MC04BKNKKTN5ZG4Q,University of Glasgow,Trinity College Dublin,University of Leeds,University of Nottingham,University of Leeds,,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Glasgow
01KCN4Q431JTZ20QTK8ABDEKEZ,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Nottingham,University of Leeds,University of Southampton,Trinity College Dublin,University of Leeds,University of Glasgow,University of Leeds
01KCN4Q432MRA2MMZQ1CSGC9Q7,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Sheffield,University of Southampton,Trinity College Dublin,University of Leeds,University of Nottingham,University of Leeds
01KCN4Q436PDEFW4W6DMSR5QXC,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Sheffield,University of Southampton,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin
01KCN4Q437CRG9Y40H327G6YT6,University of Glasgow,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,Trinity College Dublin,Karlsruhe Institute of Technology,University of Leeds
01KCN4Q432MRA2MMZQ2KSP50W3,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Southampton,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q438EYWGRYW1T4X5ZQ5P,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Adelaide,University of Leeds,University of Adelaide,Trinity College Dublin,University of Leeds,Trinity College Dublin,Karlsruhe Institute of Technology
01KCN4Q4396P6VM0D9ANR3GG4W,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43J8G6ZBGE212MDVSXM,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Leeds
01KCN4Q43AK77REMDNA1TVYHZK,Trinity College Dublin,Trinity College Dublin,University of Southampton,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Glasgow
01KCN4Q43D5VS51S401ANGY41Q,Trinity College Dublin,Trinity College Dublin,University of Sheffield,University of Leeds,University of Leeds,Karlsruhe Institute of Technology,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Glasgow
01KCN4Q43PVJGJGH51V7ZCRE0R,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Adelaide,University of Leeds,University of Leeds,Trinity College Dublin,University of Glasgow,Trinity College Dublin,University of Leeds
01KCN4Q43NJP1T3433BJMS90A5,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Sheffield,University of Leeds,University of Leeds,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43KKFHT09P8G48J9NKW,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Sheffield,University of Leeds,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43KKFHT09P8GQAGF09V,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43KKFHT09P8HH0RAPY1,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43MN400PVPPEXTHVG3H,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Southampton,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43QCB0YET2X2EQMCQZG,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Southampton,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43MN400PVPPFNF4HM3R,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Glasgow
01KCN4Q43T7K2NES9ZN0CYMPKC,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q43NJP1T3433C4ZNQCKR,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43RDAWDQ4N2Z1GYY3FY,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Adelaide,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin
01KCN4Q43VBQ575907X9NA9E0E,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin
01KCN4Q43QCB0YET2X31S4N4Q6,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43QCB0YET2X3S48V2ZJ,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43RDAWDQ4N2XHQNAG3M,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43RDAWDQ4N2Y9Z41J3G,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43VBQ575907WJJXB6W0,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43S6AWJQ4DQS92AAWXN,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Karlsruhe Institute of Technology,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43T7K2NES9ZMF39ESM3,Trinity College Dublin,Trinity College Dublin,University of Leeds,The University of Western Australia,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q43S6AWJQ4DQRP4FVZWB,Trinity College Dublin,Trinity College Dublin,University of Leeds,The University of Western Australia,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds
01KCN4Q4451FZ14ACESG0WG35A,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Glasgow,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q44659F1J0PJEZ62S691,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Glasgow,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q44659F1J0PJFKXM9EA3,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Glasgow,The University of Western Australia,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds
01KCN4Q447YCPZ5NKD787C3BVC,,,,,,,,,,
