Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,,,,,,{},{},{}
2,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 1}",{},"{""Amber"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Sky Blue,1.0,"Amber, Sky Blue","Amber, Sky Blue",,"{""Amber"": 1, ""Sky Blue"": 1}",{},"{""Amber"": 1.0, ""Sky Blue"": 1.0}"
4,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Black,1.0,"Black, Amber, Sky Blue","Black, Amber, Sky Blue",,"{""Amber"": 1, ""Sky Blue"": 1, ""Black"": 1}",{},"{""Amber"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Black, Amber, Sky Blue",,"{""Amber"": 1, ""Sky Blue"": 2, ""Black"": 1}",{},"{""Amber"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,"Black, Amber, Sky Blue",,"{""Amber"": 1, ""Sky Blue"": 3, ""Black"": 1}",{},"{""Amber"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0}"
7,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,1.0,Sky Blue,0.0,Sky Blue,"Amber, Black",Sky Blue,"{""Amber"": 1, ""Sky Blue"": 3, ""Black"": 1}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.75, ""Black"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Amber, Black",Sky Blue,"{""Amber"": 1, ""Sky Blue"": 4, ""Black"": 1}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8, ""Black"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Amber, Black",Sky Blue,"{""Amber"": 1, ""Sky Blue"": 5, ""Black"": 1}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8333333333333334, ""Black"": 1.0}"
10,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,Sky Blue,1.0,Sky Blue,"Amber, Black",Sky Blue,"{""Amber"": 1, ""Sky Blue"": 6, ""Black"": 1}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Sky Blue,"Crimson, Amber, Black",Sky Blue,"{""Amber"": 1, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 1}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 1.0}"
12,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Amber,1.0,Crimson,1.0,Sky Blue,"Crimson, Amber, Black",Sky Blue,"{""Amber"": 1, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 2}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Sky Blue,"Crimson, Amber, Black",Sky Blue,"{""Amber"": 2, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 2}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Sky Blue,"Crimson, Amber, Black",Sky Blue,"{""Amber"": 3, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 2}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 1.0}"
15,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,1.0,Amber,1.0,Sky Blue,"Crimson, Amber, Black",Sky Blue,"{""Amber"": 4, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 2}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Sky Blue,"Crimson, Amber, Black",Sky Blue,"{""Amber"": 4, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 1.0}"
17,Exploit,Lose-Shift,Exploit+Lose-Shift,Amber,1.0,Crimson,0.0,Sky Blue,"Amber, Black","Crimson, Sky Blue","{""Amber"": 4, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Sky Blue,"Amber, Black","Crimson, Sky Blue","{""Amber"": 5, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,"Amber, Sky Blue","Amber, Black","Crimson, Sky Blue","{""Amber"": 6, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,"Amber, Black","Crimson, Sky Blue","{""Amber"": 7, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,"Amber, Black","Crimson, Sky Blue","{""Amber"": 8, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,"Amber, Black","Crimson, Sky Blue","{""Amber"": 9, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,"Amber, Black","Crimson, Sky Blue","{""Amber"": 10, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,"Amber, Black","Crimson, Sky Blue","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1}","{""Amber"": 1.0, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
25,Exploit,Lose-Shift,Exploit+Lose-Shift,Black,1.0,Amber,0.0,Amber,Black,"Crimson, Amber, Sky Blue","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 1, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Black,0.0,Black,1.0,Amber,Black,"Crimson, Amber, Sky Blue","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 1.0, ""Crimson"": 0.75}"
27,Explore,Lose-Shift,Explore+Lose-Shift,Indigo,0.0,Black,0.0,Amber,Amber,"Crimson, Black, Amber, Sky Blue","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75}"
28,Explore,Lose-Shift,Explore+Lose-Shift,Pink,1.0,Indigo,0.0,Amber,Amber,"Indigo, Sky Blue, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Amber,Pink,"Indigo, Sky Blue, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 1}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 1.0}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Amber,Pink,"Indigo, Sky Blue, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 2}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 1.0}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Amber,Pink,"Indigo, Sky Blue, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 3}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 1.0}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Amber,Pink,"Indigo, Sky Blue, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 1.0}"
33,Explore,Lose-Shift,Explore+Lose-Shift,Slate,1.0,Pink,0.0,Amber,Amber,"Indigo, Sky Blue, Pink, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Slate,0.0,Slate,1.0,Amber,Slate,"Indigo, Sky Blue, Pink, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 1.0}"
35,Explore,Lose-Shift,Explore+Lose-Shift,Purple,1.0,Slate,0.0,Amber,Amber,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 1}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 2}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 3}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 4}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 5}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 6}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 7}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 8}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 9}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 10}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,"Purple, Amber",Purple,"Indigo, Sky Blue, Pink, Slate, Crimson, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 11}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 1.0}"
47,Explore,Lose-Shift,Explore+Lose-Shift,Bright Green,1.0,Purple,0.0,"Purple, Amber","Purple, Amber","Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 11}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1, ""Purple"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 0.9166666666666666}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,"Purple, Amber",Bright Green,"Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 11, ""Bright Green"": 1}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1, ""Purple"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 0.9166666666666666, ""Bright Green"": 1.0}"
49,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,"Purple, Amber",Bright Green,"Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 11, ""Bright Green"": 2}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1, ""Purple"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 0.9166666666666666, ""Bright Green"": 1.0}"
50,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,"Purple, Amber",Bright Green,"Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 11, ""Bright Green"": 3}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1, ""Purple"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 0.9166666666666666, ""Bright Green"": 1.0}"
51,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,"Purple, Amber",Bright Green,"Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 11, ""Bright Green"": 4}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1, ""Purple"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 0.9166666666666666, ""Bright Green"": 1.0}"
52,N/A,N/A,N/A+N/A,,,Bright Green,1.0,"Purple, Amber",Bright Green,"Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Amber, Black","{""Amber"": 11, ""Sky Blue"": 6, ""Black"": 2, ""Crimson"": 3, ""Pink"": 4, ""Slate"": 1, ""Purple"": 11, ""Bright Green"": 5}","{""Sky Blue"": 1, ""Crimson"": 1, ""Amber"": 1, ""Black"": 1, ""Indigo"": 1, ""Pink"": 1, ""Slate"": 1, ""Purple"": 1}","{""Amber"": 0.9166666666666666, ""Sky Blue"": 0.8571428571428571, ""Black"": 0.6666666666666666, ""Crimson"": 0.75, ""Indigo"": 0.0, ""Pink"": 0.8, ""Slate"": 0.5, ""Purple"": 0.9166666666666666, ""Bright Green"": 1.0}"
