roundID,01JVTTB7B9EZ3NFX2YEKQXSF3J,01JVTTDEA2RSRK54X7BM3VR865,01JVTTED65HWK5HHNYF0PWAQYD,01JVTTHDY4RA8DHMKBWNQJFSQ5,01JVTTEGCTM5BFRV5HASK5CEJ1,01JVTTEP24XGZJYAKQQ75G087M,01JVTTHB04R9MRRX9FY7WMA6YT,01JVTTC4VB5TX4YM0ASWKY7SGE,01JVTTCV3XRYR5EQMHJG8G23K3,01JVTTBK0ZW8NB94CW4DEZCCDS
01JVTTJ5M7R92NRTNTBEMTVPA1,,,,,,,,,,
01JVTTJ5MN8PVEATDFKHRNDPQ9,Crimson,Sky Blue,Pink,Black,Indigo,Slate,Orange,Amber,Purple,Bright Green
01JVTTJ5MPRX3M9B6HC1ATY6DP,Crimson,Purple,Indigo,Purple,Orange,Pink,Orange,Amber,Sky Blue,Bright Green
01JVTTJ5MN8PVEATDFM0FNHVAX,Purple,Purple,Orange,Purple,Purple,Orange,Orange,Purple,Purple,Amber
01JVTTJ5MQ04XWBS4CCAPADNWN,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Amber
01JVTTJ5MPRX3M9B6HAFSK5PTP,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MQ04XWBS4CCYRBBJ5W,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MRAKJTYYEW09E5RSCW,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Orange,Purple,Orange
01JVTTJ5MPRX3M9B6HBC4P4N7X,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MS5K375RF8Z6DM5V0S,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MRAKJTYYEW10NB5AHW,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Purple,Orange,Orange
01JVTTJ5MS5K375RF8XZ44BSMX,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Purple,Orange,Orange
01JVTTJ5MS5K375RF8YGZ8NRXB,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Orange,Purple,Orange
01JVTTJ5MQ04XWBS4CDF2MKGQR,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Orange,Purple,Orange
01JVTTJ5MTB3X6ZR9EFEZKDW5Q,Purple,Orange,Purple,Orange,Orange,Purple,Purple,Purple,Amber,Orange
01JVTTJ5MTB3X6ZR9EG130ESWS,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Orange,Amber,Orange
01JVTTJ5MV635EX6M8P2VZ98KM,Purple,Purple,Purple,Orange,Orange,Purple,Purple,Orange,Purple,Orange
01JVTTJ5MV635EX6M8PKMSFK9D,Purple,Purple,Purple,Orange,Amber,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MWP91ARQZFRWTXTMN5,Purple,Purple,Purple,Purple,Amber,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MRAKJTYYEW1KSMGD1Z,Purple,Purple,Purple,Amber,Amber,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MWP91ARQZFSH7C6RTS,Purple,Purple,Purple,Amber,Amber,Purple,Purple,Purple,Amber,Orange
01JVTTJ5MX76EBGG16HGD8KXFQ,Purple,Purple,Purple,Amber,Amber,Purple,Purple,Amber,Orange,Orange
01JVTTJ5MX76EBGG16JBDM7XK5,Purple,Purple,Purple,Amber,Amber,Purple,Purple,Amber,Purple,Orange
01JVTTJ5MYNH8FP4ZE8YQ2BRVE,Purple,Purple,Purple,Amber,Amber,Purple,Purple,Amber,Amber,Orange
01JVTTJ5MYNH8FP4ZE9QWXEW5B,Purple,Purple,Purple,Purple,Pink,Purple,Purple,Amber,Purple,Orange
01JVTTJ5MZBWDNW6RYW8KZZC9W,Purple,Purple,Purple,Purple,Pink,Purple,Purple,Purple,Purple,Orange
01JVTTJ5MZBWDNW6RYWQRNRS44,Purple,Purple,Purple,Orange,Purple,Purple,Purple,Purple,Orange,Orange
01JVTTJ5N21ZMJQBDRKXD7NSCG,Purple,Purple,Purple,Orange,Pink,Purple,Purple,Purple,Orange,Orange
01JVTTJ5N0WE6CYP24TTJCRNYM,Purple,Purple,Purple,Orange,Pink,Purple,Purple,Orange,Orange,Orange
01JVTTJ5N0WE6CYP24VNJGJNT4,Purple,Purple,Purple,Orange,Pink,Purple,Purple,Orange,Orange,Orange
01JVTTJ5N1XDYCM2RKA579JGGF,Purple,Purple,Purple,Orange,Pink,Purple,Purple,Orange,Pink,Orange
01JVTTJ5N0WE6CYP24WB4FTJ0Z,Purple,Purple,Purple,Pink,Pink,Purple,Purple,Purple,Pink,Orange
01JVTTJ5N6N8J7VZJ0959NEJDK,Purple,Purple,Purple,Pink,Pink,Purple,Purple,Purple,Pink,Orange
01JVTTJ5N4FDWFQKYD7DKTTA8A,Purple,Purple,Purple,Pink,Pink,Purple,Purple,Purple,Pink,Orange
01JVTTJ5N6N8J7VZJ09SVTH56R,Purple,Purple,Purple,Pink,Pink,Purple,Purple,Purple,Pink,Orange
01JVTTJ5N21ZMJQBDRMDJ7DHXM,Purple,Purple,Purple,Pink,Pink,Purple,Purple,Purple,Pink,Purple
01JVTTJ5N3XZ31YFW8B0T2Z9D9,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Purple,Pink,Orange
01JVTTJ5N4FDWFQKYD815S4V71,Purple,Purple,Purple,Pink,Black,Purple,Purple,Purple,Pink,Orange
01JVTTJ5N59DQCPB6RJ448D4JM,Purple,Purple,Purple,Pink,Black,Purple,Purple,Orange,Pink,Orange
01JVTTJ5N7AKJZMFAT3G0C4CYG,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5N8B4MHKTHTJFN0NPV4,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5N7AKJZMFAT40VTS229,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5NBRJ3G8E67H32SKWA3,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5N94E56FX0B14M283CA,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5N94E56FX0B1QAG1PMM,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Purple,Pink,Orange
01JVTTJ5N94E56FX0B2KTY7YV5,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5NA4C745WFHSXS8PSWH,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5NA4C745WFHSA4W051J,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5NBRJ3G8E67J0DKJPWE,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Crimson,Orange
01JVTTJ5NBRJ3G8E67HAPAX8P8,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Crimson,Orange
01JVTTJ5NCKMPMK6VWPR1Q2K51,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Purple,Pink,Orange
01JVTTJ5NCKMPMK6VWQGJBRT9X,Purple,Purple,Purple,Pink,Crimson,Purple,Purple,Orange,Pink,Orange
01JVTTJ5NCKMPMK6VWR6H1CC8K,,,,,,,,,,
